stop_id,stop_name,stop_desc,stop_lat,stop_lon
503305,"ROOSEVELT AV/58 ST","ROOSEVELT AV & 58 ST",  40.745337, -73.906245
503307,"ROOSEVELT AV/63 ST","ROOSEVELT AV & 63 ST",  40.745823, -73.900865
503309,"ROOSEVELT AV/69 ST","ROOSEVELT AV & 69 ST",  40.746298, -73.896418
503312,"ROOSEVELT AV/78 ST","ROOSEVELT AV & 78 ST",  40.747219, -73.887521
503317,"ROOSEVELT AV/78 ST","ROOSEVELT AV & 78 ST",  40.747312, -73.887846
503319,"ROOSEVELT AV/74 ST","ROOSEVELT AV & 74 ST",  40.746985, -73.891152
503321,"ROOSEVELT AV/69 ST","ROOSEVELT AV & 69 ST",  40.746409, -73.896646
503323,"ROOSEVELT AV/64 ST","ROOSEVELT AV & 64 ST",  40.746014, -73.900295
503324,"ROOSEVELT AV/61 ST","ROOSEVELT AV & 61 ST",  40.745700, -73.903290
503325,"ROOSEVELT AV/58 ST","ROOSEVELT AV & 58 ST",  40.745468, -73.906515
503326,"ROOSEVELT AV/SKILLMAN AV","ROOSEVELT AV & SKILLMAN AV",  40.745189, -73.908828
503328,"ROOSEVELT AV/51 ST","ROOSEVELT AV & 51 ST",  40.743819, -73.914019
503331,"QUEENS BLVD/45 ST","QUEENS BLVD & 45 ST",  40.743539, -73.919773
503333,"QUEENS BLVD/41 ST","QUEENS BLVD & 41 ST",  40.743971, -73.923443
503334,"QUEENS BLVD/39 PL","QUEENS BLVD & 39 PL",  40.744165, -73.925245
503336,"QUEENS BLVD/35 ST","QUEENS BLVD & 35 ST",  40.744737, -73.929943
503338,"QUEENS BLVD/SKILLMAN AV","QUEENS BLVD & SKILLMAN AV",  40.745950, -73.934116
503456,"FRESH POND RD/PUTNAM AV","FRESH POND RD & PUTNAM AV",  40.706356, -73.896715
503473,"GRAND AV/79 ST","GRAND AV & 79 ST",  40.731171, -73.885245
503478,"BROADWAY/JUSTICE AV","BROADWAY & JUSTICE AV",  40.737801, -73.877105
503492,"108 ST/HORACE HARDING EXPWY","108 ST & HORACE HARDING EXPWY",  40.737814, -73.852341
503542,"FRESH POND RD/METROPOLITAN AV","FRESH POND RD & METROPOLITAN AV",  40.712523, -73.900714
503545,"FRESH POND RD/PALMETTO ST","FRESH POND RD & PALMETTO ST",  40.708253, -73.898006
503551,"PARSONS BLVD/20 AV","PARSONS BLVD & 20 AV",  40.781868, -73.822021
503574,"82 ST/NORTHERN BLVD","82 ST & NORTHERN BLVD",  40.755346, -73.885403
503575,"82 ST/34 AV","82 ST & 34 AV",  40.753515, -73.885123
503576,"82 ST/35 AV","82 ST & 35 AV",  40.751660, -73.884761
503577,"82 ST/37 AV","82 ST & 37 AV",  40.749909, -73.884430
503578,"81 ST/ROOSEVELT AV","81 ST & ROOSEVELT AV",  40.747863, -73.884798
503579,"81 ST/37 AV","81 ST & 37 AV",  40.749915, -73.885156
503581,"81 ST/34 AV","81 ST & 34 AV",  40.753909, -73.885903
503582,"81 ST/NORTHERN BLVD","81 ST & NORTHERN BLVD",  40.755364, -73.886190
503585,"CORPORAL KENNEDY ST/23 AV","CORPORAL KENNEDY ST & 23 AV",  40.778834, -73.782979
503588,"UNION TPKE/248 ST","UNION TPKE & 248 ST",  40.742370, -73.721637
503614,"JAMAICA AV /165 ST","JAMAICA AV  & 165 ST",  40.705485, -73.794605
503674,"168 ST /JAMAICA AV","168 ST  & JAMAICA AV",  40.706567, -73.792501
503684,"UNION TPKE/248 ST","UNION TPKE & 248 ST",  40.742340, -73.722497
503720,"CORPORAL KENNEDY ST/26 AV","CORPORAL KENNEDY ST & 26 AV",  40.776976, -73.782846
503721,"CORPORAL KENNEDY ST/26 AV","CORPORAL KENNEDY ST & 26 AV",  40.776750, -73.782914
503779,"FARMERS BLVD/145 DR","FARMERS BLVD & 145 DR",  40.664405, -73.768255
503789,"153 ST /JAMAICA AV","153 ST  & JAMAICA AV",  40.702998, -73.802273
503791,"LINDEN BLVD/179 ST","LINDEN BLVD & 179 ST",  40.692351, -73.767574
503792,"LINDEN BLVD/79 ST","LINDEN BLVD & 79 ST",  40.670625, -73.856570
503793,"130 PL /BERGEN RD","130 PL  & BERGEN RD",  40.659716, -73.810677
503828,"213 PL/BAY TERRACE SHOPPING CENTER","213 PL & BAY TERRACE SHOPPING CENTER",  40.780935, -73.777165
503848,"LAGUARDIA/TERMINAL C","LAGUARDIA & TERMINAL C",  40.770292, -73.864519
503854,"MARINE TERMINAL RD/FIORELLO LN","MARINE TERMINAL RD & FIORELLO LN",  40.770901, -73.885404
503855,"DITMARS BLVD/GRAND CENTRAL PKWY","DITMARS BLVD & GRAND CENTRAL PKWY",  40.767341, -73.888056
503856,"23 AV/94 ST","23 AV & 94 ST",  40.768043, -73.876339
503862,"108 ST/HORACE HARDING EXPWY","108 ST & HORACE HARDING EXPWY",  40.737858, -73.851901
503864,"108 ST/VAN CLEEF ST","108 ST & VAN CLEEF ST",  40.740940, -73.853603
503870,"ASTORIA BLVD/STEINWAY ST","ASTORIA BLVD & STEINWAY ST",  40.769529, -73.910500
503872,"ASTORIA BLVD/73 ST PEDESTRIAN OVERPASS","ASTORIA BLVD & 73 ST PEDESTRIAN OVERPASS",  40.766398, -73.896272
503876,"23 AV/87 ST","23 AV & 87 ST",  40.767285, -73.882565
503917,"59 AV/92 ST","59 AV & 92 ST",  40.734074, -73.869315
503921,"32 AV/CORPORAL KENNEDY ST","32 AV & CORPORAL KENNEDY ST",  40.772254, -73.780636
503932,"JAMAICA AV/PARSONS BLVD","JAMAICA AV & PARSONS BLVD",  40.703368, -73.800550
503938,"JAMAICA AV/GUY R BREWER BLVD","JAMAICA AV & GUY R BREWER BLVD",  40.704409, -73.797150
503974,"JERICHO TPKE/246 ST","JERICHO TPKE & 246 ST",  40.724767, -73.722626
504023,"94 ST/23 AV","94 ST & 23 AV",  40.768784, -73.876255
504024,"94 ST/DITMARS BLVD","94 ST & DITMARS BLVD",  40.770265, -73.875896
504029,"HOLLIS COURT BLVD/FRANCIS LEWIS BLVD","HOLLIS COURT BLVD & FRANCIS LEWIS BLVD",  40.745055, -73.777478
504031,"HORACE HARDING EXPWY/175 PL","HORACE HARDING EXPWY & 175 PL",  40.739313, -73.793794
504034,"46 AV/163 ST","46 AV & 163 ST",  40.753805, -73.804300
504081,"KISSENA BLVD/HOLLY AV","KISSENA BLVD & HOLLY AV",  40.750566, -73.819141
504090,"ROOSEVELT AV/82 ST","ROOSEVELT AV & 82 ST",  40.747695, -73.884115
504105,"FRESH POND RD/CATALPA AV","FRESH POND RD & CATALPA AV",  40.704114, -73.895669
504127,"FRESH POND RD/CATALPA AV","FRESH POND RD & CATALPA AV",  40.703742, -73.895737
504130,"FRESH POND RD/MYRTLE AV","FRESH POND RD & MYRTLE AV",  40.700945, -73.894779
504196,"JAMAICA AV/144 PL","JAMAICA AV & 144 PL",  40.702128, -73.810926
504198,"JAMAICA AV/144 ST","JAMAICA AV & 144 ST",  40.702335, -73.811368
504273,"METROPOLITAN AV/WOODHAVEN BLVD","METROPOLITAN AV & WOODHAVEN BLVD",  40.711685, -73.859005
504274,"METROPOLITAN AV/SELFRIDGE ST","METROPOLITAN AV & SELFRIDGE ST",  40.711313, -73.856719
504333,"MYRTLE AV/CYPRESS HILLS ST","MYRTLE AV & CYPRESS HILLS ST",  40.700986, -73.890967
504348,"MYRTLE AV/111 ST","MYRTLE AV & 111 ST",  40.700766, -73.839226
504369,"MYRTLE AV/68 ST","MYRTLE AV & 68 ST",  40.701787, -73.884541
504372,"MYRTLE AV/CYPRESS HILLS ST","MYRTLE AV & CYPRESS HILLS ST",  40.701266, -73.890044
504374,"MYRTLE AV/FRESH POND RD","MYRTLE AV & FRESH POND RD",  40.700959, -73.894327
504398,"QUEENS BLVD/55 AV","QUEENS BLVD & 55 AV",  40.735399, -73.876143
504400,"QUEENS BLVD/WOODHAVEN BLVD","QUEENS BLVD & WOODHAVEN BLVD",  40.733377, -73.870851
504401,"QUEENS BLVD/ELIOT AV","QUEENS BLVD & ELIOT AV",  40.732402, -73.868197
504403,"QUEENS BLVD/62 DR","QUEENS BLVD & 62 DR",  40.731228, -73.864594
504404,"QUEENS BLVD/59 AV","QUEENS BLVD & 59 AV",  40.734028, -73.870895
504410,"JACKSON AV/DAVIS ST","JACKSON AV & DAVIS ST",  40.745798, -73.945408
504413,"JACKSON AV/QUEENS PLAZA SOUTH","JACKSON AV & QUEENS PLAZA SOUTH",  40.748587, -73.938610
504416,"JACKSON AV/47 AV","JACKSON AV & 47 AV",  40.744572, -73.948998
504417,"23 AV/82 ST","23 AV & 82 ST",  40.766330, -73.887134
504418,"ASTORIA BLVD/49 ST","ASTORIA BLVD & 49 ST",  40.767425, -73.902214
504419,"ASTORIA BLVD/49 ST","ASTORIA BLVD & 49 ST",  40.767885, -73.901721
504423,"ASTORIA BLVD/77 ST","ASTORIA BLVD & 77 ST",  40.765571, -73.891607
504447,"32 AV/CLEARVIEW SERVICE RD WEST","32 AV & CLEARVIEW SERVICE RD WEST",  40.771309, -73.784285
504453,"JAMAICA AV/ELDERT LN","JAMAICA AV & ELDERT LN",  40.691170, -73.868651
504461,"LINDEN BLVD/172 ST","LINDEN BLVD & 172 ST",  40.691888, -73.778832
504482,"CORPORAL KENNEDY ST/32 AV","CORPORAL KENNEDY ST & 32 AV",  40.772390, -73.780665
