route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
BM1,MTABC,BM1,Mill Basin - Downtown/Midtown,Via E 66 St / Ave K / Ocean Av / Cortelyou Rd,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BM2,MTABC,BM2,Canarsie/Spring Creek - Downtown/Midtown,Via Ave M/ Ave H / Cortelyou Rd,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BM3,MTABC,BM3,Sheepshead Bay - Downtown/Midtown,Via Sheepshead Bay / Ocean Ave / Cortelyou Rd,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BM4,MTABC,BM4,Gerritsen Beach - Downtown/Midtown,Via Gerritsen Av / Nostrand Av / Ocean Av,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BM5,MTABC,BM5,Spring Creek - Midtown,Via Pennsylvania Av / Linden Blvd / Woodhaven Blvd,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BX23,MTABC,Bx23,Pelham Bay - Co-Op City,,3,https://new.mta.info/schedules/bus,B933AD,FFFFFF
BXM1,MTABC,BxM1,Riverdale - East Midtown,Via Riverdale / H. Hudson / Lex & 3 Av,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BXM10,MTABC,BxM10,Williamsbridge/Morris Park - Midtown,,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BXM11,MTABC,BxM11,Wakefield - Midtown,Via White Plains Rd / 5Th & Madison Av,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BXM18,MTABC,BxM18,Riverdale - Downtown,Via Riverdale / H. Hudsn / Bway & Trnty,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BXM2,MTABC,BxM2,Riverdale - West Midtown,Via Riverdale / H. Hudson / 6Th & 7Th Av,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BXM3,MTABC,BxM3,Yonkers - Midtown,Via Bway / Sedgwick Av / 5Th & Madison,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BXM4,MTABC,BxM4,Woodlawn - Midtown,Via Katonah Av / Grand Concourse,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BXM6,MTABC,BxM6,Parkchester - Midtown,,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BXM7,MTABC,BxM7,Co-Op City - Midtown,,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BXM8,MTABC,BxM8,Pelham Bay/City Island - Midtown,,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
BXM9,MTABC,BxM9,Throgs Neck - Midtown Express,Via Edgewater Pk / Throgs Neck / Schuylerville,3,https://new.mta.info/schedules/bus,00933C,FFFFFF
Q100,MTABC,Q100,Rikers Island - Long Island City Ltd,Via 21 St,3,https://new.mta.info/schedules/bus,EE352E,FFFFFF
Q101,MTABC,Q101,Steinway - Hunters Point,Via Steinway St / Jackson Av,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
